epoch,learning_rate,loss,token_accuracy,val_loss,val_token_accuracy
0,0.0010000000474974513,4.117626190185547,0.2562336027622223,3.677349805831909,0.2718893885612488
1,0.0010000000474974513,3.5368406772613525,0.26875993609428406,3.5451271533966064,0.2738095223903656
2,0.0010000000474974513,3.3791372776031494,0.2796286344528198,3.452594757080078,0.28552231192588806
3,0.0010000000474974513,3.236137628555298,0.29790908098220825,3.367439031600952,0.2974270284175873
4,0.0010000000474974513,3.1111440658569336,0.30901461839675903,3.3115994930267334,0.3051075339317322
5,0.0010000000474974513,3.008039951324463,0.31865212321281433,3.2771384716033936,0.30894774198532104
6,0.0010000000474974513,2.9201290607452393,0.33008918166160583,3.2568345069885254,0.3137480616569519
7,0.0010000000474974513,2.8396620750427246,0.3388742208480835,3.242263078689575,0.320468544960022
8,0.0010000000474974513,2.760148525238037,0.34680673480033875,3.232996702194214,0.3246927559375763
9,0.0010000000474974513,2.6830947399139404,0.35663366317749023,3.2301926612854004,0.32526880502700806
10,0.0010000000474974513,2.609891414642334,0.3664606809616089,3.2354793548583984,0.32450076937675476
11,0.0005000000237487257,2.5213258266448975,0.3793894052505493,3.2423815727233887,0.3291090726852417
12,0.0002500000118743628,2.46799635887146,0.38879016041755676,3.24265193939209,0.331413209438324
